t=2025-07-26T14:44:19+0530 lvl=info msg="no configuration paths supplied"
t=2025-07-26T14:44:19+0530 lvl=info msg="using configuration at default config path" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-26T14:44:19+0530 lvl=info msg="open config file" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-26T14:44:19+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-26T14:44:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-26T14:44:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-26T14:44:20+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:9040 url=https://23b77afcbbb1.ngrok-free.app
t=2025-07-26T14:44:29+0530 lvl=info msg=start pg=/api/tunnels id=781d89ed2af7d17b
t=2025-07-26T14:44:29+0530 lvl=info msg=end pg=/api/tunnels id=781d89ed2af7d17b status=200 dur=105.208µs
t=2025-07-26T14:46:57+0530 lvl=info msg=start pg=/api/tunnels id=ebf73ab8ea8398b6
t=2025-07-26T14:46:57+0530 lvl=info msg=end pg=/api/tunnels id=ebf73ab8ea8398b6 status=200 dur=272.041µs
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=6bd705494673 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=2ccc21effb33 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=c5ce9f946011 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=8807ca42754e l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=acfb2ca8766f l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=2bccdb6a1b15 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=f10e83117bfb l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
t=2025-07-26T14:47:05+0530 lvl=info msg="join connections" obj=join id=a0d0ed088d30 l=[::1]:9040 r=[2a09:bac5:40f4:1a96::2a6:6a]:61450
