t=2025-07-29T11:44:21+0530 lvl=info msg="no configuration paths supplied"
t=2025-07-29T11:44:21+0530 lvl=info msg="using configuration at default config path" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml"
t=2025-07-29T11:44:21+0530 lvl=info msg="open config file" path="/Users/coder/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-07-29T11:44:21+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-07-29T11:44:22+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-07-29T11:44:22+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-07-29T11:44:22+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:9040 url=https://3ac72a83cb71.ngrok-free.app
t=2025-07-29T11:44:26+0530 lvl=info msg=start pg=/api/tunnels id=dcf38b516a721525
t=2025-07-29T11:44:26+0530 lvl=info msg=end pg=/api/tunnels id=dcf38b516a721525 status=200 dur=334.791µs
t=2025-07-29T11:45:16+0530 lvl=info msg="join connections" obj=join id=5ce48ec43dd7 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=eb47f0bcba99 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=2587899ef3ae l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=56d6cdaebe99 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=1a57b599a68c l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=23e8ff070d22 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=9b1c770ed91a l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=7b7e02d6917e l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=e17e4490242e l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=bef0551631c2 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=619f4f40836d l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=5488c0fbb8ae l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=0a87766e2c23 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=87f1e6356906 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=e74ec4f969e0 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=7f15f0257076 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=5962823b78f4 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=380bee53f698 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=6634fbb49d3a l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=5f15e14d08ad l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=9ea98c40cf84 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=c15b74bf88f2 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=7da9624a7536 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=3b0c22d457d3 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
t=2025-07-29T11:45:17+0530 lvl=info msg="join connections" obj=join id=249dc2ce2048 l=[::1]:9040 r=[2a09:bac1:36c0:220::10c:8]:37484
